,District_Name,Soil_color,Season,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Crop1,Crop2,Fertilizer,Fertilizer1,Fertilizer2,Link
0,Kolhapur,Black,Whole Year,75,50,100.0,6.5,1000,20,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
1,Kolhapur,Black,Whole Year,80,50,100.0,6.5,1000,20,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
2,Kolhapur,Black,Whole Year,85,50,100.0,6.5,1000,20,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
3,Kolhapur,Black,Whole Year,90,50,100.0,6.5,1000,20,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
4,Kolhapur,Black,Whole Year,95,50,100.0,6.5,1000,20,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
5,Kolhapur,Black,Whole Year,100,50,100.0,6.5,1000,20,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
6,Kolhapur,Black,Whole Year,75,55,105.0,7.0,1100,25,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
7,Kolhapur,Black,Whole Year,80,55,105.0,7.0,1100,25,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
8,Kolhapur,Black,Whole Year,85,55,105.0,7.0,1100,25,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
9,Kolhapur,Black,Whole Year,90,55,105.0,7.0,1100,25,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
10,Kolhapur,Black,Whole Year,95,55,105.0,7.0,1100,25,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
11,Kolhapur,Black,Whole Year,100,55,105.0,7.0,1100,25,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
12,Kolhapur,Black,Whole Year,75,60,110.0,7.5,1200,30,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
13,Kolhapur,Black,Whole Year,80,60,110.0,7.5,1200,30,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
14,Kolhapur,Black,Whole Year,85,60,110.0,7.5,1200,30,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
15,Kolhapur,Black,Whole Year,90,60,110.0,7.5,1200,30,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
16,Kolhapur,Black,Whole Year,95,60,110.0,7.5,1200,30,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
17,Kolhapur,Black,Whole Year,100,60,110.0,7.5,1200,30,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
18,Kolhapur,Black,Whole Year,75,50,115.0,6.5,1300,35,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
19,Kolhapur,Black,Whole Year,80,50,115.0,6.5,1300,35,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
20,Kolhapur,Black,Whole Year,85,50,115.0,6.5,1300,35,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
21,Kolhapur,Black,Whole Year,90,50,115.0,6.5,1300,35,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
22,Kolhapur,Black,Whole Year,95,50,115.0,6.5,1300,35,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
23,Kolhapur,Black,Whole Year,100,50,115.0,6.5,1300,35,Sugarcane,maize,Soybean,Urea,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
24,Kolhapur,Black,Whole Year,75,55,100.0,7.0,1400,20,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
25,Kolhapur,Black,Whole Year,80,55,100.0,7.0,1400,20,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
26,Kolhapur,Black,Whole Year,85,55,100.0,7.0,1400,20,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
27,Kolhapur,Black,Whole Year,90,55,100.0,7.0,1400,20,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
28,Kolhapur,Black,Whole Year,95,55,100.0,7.0,1400,20,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
29,Kolhapur,Black,Whole Year,100,55,100.0,7.0,1400,20,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
30,Kolhapur,Black,Whole Year,75,60,105.0,7.5,1500,25,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
31,Kolhapur,Black,Whole Year,80,60,105.0,7.5,1500,25,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
32,Kolhapur,Black,Whole Year,85,60,105.0,7.5,1500,25,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
33,Kolhapur,Black,Whole Year,90,60,105.0,7.5,1500,25,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
34,Kolhapur,Black,Whole Year,95,60,105.0,7.5,1500,25,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
35,Kolhapur,Black,Whole Year,100,60,105.0,7.5,1500,25,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
36,Kolhapur,Black,Whole Year,75,50,110.0,6.5,1000,30,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
37,Kolhapur,Black,Whole Year,80,50,110.0,6.5,1000,30,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
38,Kolhapur,Black,Whole Year,85,50,110.0,6.5,1000,30,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
39,Kolhapur,Black,Whole Year,90,50,110.0,6.5,1000,30,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
40,Kolhapur,Black,Whole Year,95,50,110.0,6.5,1000,30,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
41,Kolhapur,Black,Whole Year,100,50,110.0,6.5,1000,30,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
42,Kolhapur,Black,Whole Year,75,55,115.0,7.0,1100,35,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
43,Kolhapur,Black,Whole Year,80,55,115.0,7.0,1100,35,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
44,Kolhapur,Black,Whole Year,85,55,115.0,7.0,1100,35,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
45,Kolhapur,Black,Whole Year,90,55,115.0,7.0,1100,35,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
46,Kolhapur,Black,Whole Year,95,55,115.0,7.0,1100,35,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
47,Kolhapur,Black,Whole Year,100,55,115.0,7.0,1100,35,Sugarcane,maize,Soybean,DAP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
48,Kolhapur,Black,Whole Year,75,60,100.0,7.5,1200,20,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
49,Kolhapur,Black,Whole Year,80,60,100.0,7.5,1200,20,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
50,Kolhapur,Black,Whole Year,85,60,100.0,7.5,1200,20,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
51,Kolhapur,Black,Whole Year,90,60,100.0,7.5,1200,20,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
52,Kolhapur,Black,Whole Year,95,60,100.0,7.5,1200,20,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
53,Kolhapur,Black,Whole Year,100,60,100.0,7.5,1200,20,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
54,Kolhapur,Black,Whole Year,75,50,105.0,6.5,1300,25,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
55,Kolhapur,Black,Whole Year,80,50,105.0,6.5,1300,25,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
56,Kolhapur,Black,Whole Year,85,50,105.0,6.5,1300,25,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
57,Kolhapur,Black,Whole Year,90,50,105.0,6.5,1300,25,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
58,Kolhapur,Black,Whole Year,95,50,105.0,6.5,1300,25,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
59,Kolhapur,Black,Whole Year,100,50,105.0,6.5,1300,25,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
60,Kolhapur,Black,Whole Year,75,55,110.0,7.0,1400,30,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
61,Kolhapur,Black,Whole Year,80,55,110.0,7.0,1400,30,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
62,Kolhapur,Black,Whole Year,85,55,110.0,7.0,1400,30,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
63,Kolhapur,Black,Whole Year,90,55,110.0,7.0,1400,30,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
64,Kolhapur,Black,Whole Year,95,55,110.0,7.0,1400,30,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
65,Kolhapur,Black,Whole Year,100,55,110.0,7.0,1400,30,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
66,Kolhapur,Black,Whole Year,75,60,115.0,7.5,1500,35,Sugarcane,maize,Soybean,MOP,Potash,19:19:19 NPK,https://youtu.be/2t5Am0xLTOo
